Categoria,Nome,Porcentagem
Dados,Power BI (Dashboards Gerenciais & Modelagem DAX),90
Dados,Bancos de Dados Relacionais (PostgreSQL),75
Dados,"Pipelines ETL & Manipulação (JSON, XML, HTML)",90
RPA,"Python Avançado (Scrapy, Playwright, BeautifulSoup)",95
RPA,Plataforma de Robótica UiPath,85
SAP,Suporte Funcional SAP (ECC e S/4HANA),90
SAP,"Módulos de Processos (FI, CO, SD, MM, Basis)",80
SAP,Solução Fiscal Integrada Guepardo,85
